category,shopping_mall,age,quantity,price,month
2,8,5,3,22,9
1,8,5,4,32,7
6,0,48,2,37,2
2,5,38,3,22,10
5,7,20,1,6,1
1,0,10,2,28,3
3,7,26,0,0,6
3,5,8,3,5,1
2,8,23,3,22,6
1,8,32,3,30,6
2,5,5,2,20,4
2,7,13,3,22,1
2,2,8,4,24,10
3,8,38,2,4,2
7,4,16,3,21,9
1,4,11,1,26,10
1,5,2,0,25,0
2,2,36,2,20,5
1,6,22,3,30,4
2,3,22,4,24,0
0,5,3,3,15,6
6,9,14,1,34,8
1,6,29,2,28,8
5,0,23,2,9,0
2,4,15,4,24,10
5,5,49,1,6,2
2,3,19,2,20,6
7,7,20,0,10,5
4,4,10,4,36,0
0,4,20,0,3,3
2,4,38,0,11,1
0,7,7,2,12,6
0,4,48,4,17,7
5,8,19,1,6,8
3,5,1,1,1,10
1,4,35,4,32,5
4,4,51,0,27,6
1,7,51,4,32,3
3,7,13,1,1,8
0,4,21,4,17,7
4,9,35,4,36,0
2,7,8,1,18,1
3,2,45,2,4,11
1,5,16,4,32,1
3,4,7,0,0,6
4,7,2,2,33,0
1,7,0,3,30,8
2,4,35,3,22,5
2,5,28,3,22,1
1,3,16,0,25,6
1,7,43,2,28,11
1,5,20,4,32,7
3,7,49,2,4,8
7,3,15,3,21,4
1,9,45,3,30,11
1,0,3,4,32,0
2,4,23,3,22,3
3,0,30,0,0,0
6,4,9,0,29,0
7,4,4,4,23,11
1,7,36,3,30,1
7,6,33,0,10,6
1,7,11,0,25,0
4,4,26,1,31,0
4,4,2,2,33,10
4,6,41,1,31,6
1,7,5,3,30,5
1,1,7,0,25,10
4,4,45,0,27,9
1,4,3,4,32,7
1,0,38,2,28,2
2,4,21,1,18,7
3,5,32,1,1,3
4,5,36,3,35,7
6,8,9,2,37,5
1,1,38,4,32,0
1,7,35,3,30,10
2,8,44,2,20,10
1,4,24,3,30,7
7,6,50,1,16,8
1,5,9,3,30,5
2,8,21,3,22,7
7,4,26,2,19,5
1,1,34,2,28,11
2,5,1,1,18,11
2,0,50,2,20,5
0,1,4,4,17,5
4,1,43,0,27,1
3,4,5,2,4,0
2,6,16,4,24,0
5,6,15,1,6,6
4,7,42,0,27,8
3,9,6,0,0,3
2,5,35,4,24,10
1,6,4,2,28,1
5,6,32,3,13,4
1,6,31,1,26,2
1,5,13,0,25,11
3,0,11,4,7,6
3,4,34,0,0,8
2,3,49,1,18,1
3,7,32,1,1,5
7,5,40,4,23,4
1,7,32,3,30,2
6,4,50,1,34,6
5,1,41,1,6,3
1,2,48,4,32,1
5,9,51,3,13,5
3,5,9,4,7,6
7,9,34,0,10,8
1,3,9,1,26,9
6,2,25,1,34,2
1,1,18,0,25,6
5,4,1,0,2,0
0,6,3,4,17,11
1,4,2,0,25,8
7,7,5,1,16,7
2,6,34,1,18,1
1,4,6,3,30,0
3,7,2,4,7,11
7,9,40,2,19,5
1,5,3,3,30,7
4,3,17,1,31,0
2,4,11,2,20,11
2,2,50,1,18,1
2,1,32,2,20,1
7,4,26,2,19,8
1,0,29,0,25,7
5,6,30,3,13,0
7,5,21,0,10,10
1,4,9,0,25,0
4,8,16,3,35,0
3,4,47,0,0,7
2,3,35,1,18,1
3,4,1,2,4,5
1,3,1,1,26,6
3,6,13,0,0,1
7,0,25,1,16,9
1,6,24,2,28,5
0,4,40,3,15,2
2,3,16,2,20,8
2,3,14,1,18,6
5,4,9,3,13,10
3,4,10,1,1,8
2,4,37,2,20,1
5,7,30,2,9,2
3,5,28,3,5,8
7,7,2,2,19,5
7,5,21,2,19,0
1,5,26,4,32,6
2,0,17,4,24,0
2,1,30,4,24,8
1,4,4,0,25,8
6,3,34,2,37,9
1,6,27,4,32,9
1,5,46,3,30,6
5,5,20,4,14,4
4,4,27,1,31,11
5,7,23,4,14,9
2,2,39,0,11,5
3,4,39,3,5,8
0,5,42,0,3,7
3,4,26,1,1,8
2,6,20,4,24,10
3,5,47,2,4,7
1,7,12,0,25,4
1,3,32,1,26,6
3,2,1,2,4,8
4,6,8,0,27,2
2,2,36,3,22,1
2,1,45,2,20,5
1,6,48,1,26,6
2,5,30,1,18,3
1,9,28,1,26,3
4,4,36,3,35,1
0,8,44,4,17,5
7,5,46,2,19,6
3,6,37,2,4,6
1,0,2,0,25,5
7,3,23,4,23,0
3,3,36,4,7,11
1,7,16,0,25,3
1,7,13,0,25,10
7,6,30,3,21,8
1,1,26,1,26,0
4,4,24,0,27,3
4,5,7,0,27,10
1,4,46,4,32,10
6,4,49,4,39,0
1,9,37,1,26,1
4,1,44,2,33,11
1,6,36,1,26,10
3,4,25,3,5,4
1,2,12,1,26,3
2,4,40,4,24,5
4,2,31,4,36,5
1,5,31,2,28,4
1,5,1,4,32,11
3,4,40,0,0,7
3,4,31,1,1,2
6,9,32,0,29,1
2,3,3,3,22,1
4,5,3,1,31,1
2,4,45,4,24,7
5,2,12,1,6,2
4,6,48,4,36,9
3,5,5,3,5,11
1,6,51,0,25,8
4,4,27,3,35,2
1,1,35,4,32,11
0,3,32,0,3,11
1,0,27,2,28,2
3,2,29,2,4,1
1,6,18,0,25,4
3,7,43,2,4,2
7,5,28,3,21,2
6,0,29,4,39,9
1,5,20,4,32,10
1,4,23,0,25,10
1,3,11,3,30,4
2,4,40,2,20,5
6,0,51,2,37,8
2,7,35,3,22,3
3,6,8,0,0,9
3,5,35,0,0,9
1,3,45,3,30,4
1,1,36,0,25,1
1,2,36,4,32,10
5,3,27,1,6,6
7,4,44,3,21,6
1,8,0,0,25,2
4,9,26,4,36,8
1,7,32,0,25,7
1,3,13,4,32,3
1,9,44,4,32,10
1,4,2,4,32,8
0,5,47,4,17,7
5,6,45,0,2,8
3,5,39,3,5,9
1,7,41,0,25,2
1,9,26,3,30,11
2,7,45,4,24,1
1,0,47,3,30,6
1,3,50,0,25,0
3,7,3,1,1,9
0,5,15,4,17,3
5,6,5,1,6,2
5,5,31,4,14,10
4,7,39,1,31,1
7,4,36,3,21,7
2,1,23,2,20,11
4,4,3,2,33,2
7,4,27,0,10,2
4,4,40,2,33,7
3,5,35,3,5,3
1,1,35,4,32,1
3,4,21,4,7,4
4,5,3,0,27,1
7,5,33,0,10,11
1,1,32,1,26,11
2,5,32,3,22,0
3,4,43,2,4,11
3,5,26,4,7,1
5,3,13,3,13,0
3,4,46,0,0,1
1,8,32,1,26,4
1,3,27,0,25,9
6,4,11,3,38,1
1,5,15,0,25,10
3,5,11,1,1,0
6,6,47,2,37,10
1,6,48,0,25,0
2,3,36,2,20,8
6,7,26,3,38,5
7,4,28,4,23,6
3,7,19,4,7,7
3,6,4,4,7,7
2,5,37,3,22,7
6,5,23,1,34,6
7,8,24,2,19,1
4,9,6,2,33,9
2,6,25,3,22,10
1,0,22,2,28,2
2,4,4,3,22,1
0,2,9,0,3,10
2,5,50,1,18,3
1,7,30,1,26,4
1,8,38,2,28,3
1,4,7,2,28,11
3,5,12,3,5,10
7,7,31,4,23,8
1,5,39,1,26,2
3,5,28,3,5,0
3,4,11,2,4,6
2,6,51,0,11,11
2,4,24,1,18,2
7,4,20,0,10,1
1,6,28,1,26,10
2,7,13,2,20,0
1,5,8,4,32,0
2,5,30,2,20,3
0,4,12,4,17,9
1,4,38,0,25,0
3,6,47,1,1,8
1,5,35,1,26,0
1,4,25,2,28,11
3,6,8,1,1,3
1,6,5,4,32,7
4,6,36,3,35,0
1,4,38,3,30,5
7,5,19,1,16,5
1,5,30,2,28,6
3,1,38,1,1,1
5,4,40,1,6,6
3,4,22,2,4,8
4,4,20,4,36,2
2,4,22,2,20,11
7,5,46,0,10,8
5,5,10,4,14,3
2,8,31,3,22,9
3,6,33,2,4,5
1,6,4,2,28,6
1,8,49,4,32,6
7,3,4,1,16,1
1,5,8,2,28,10
7,3,24,0,10,0
0,1,27,0,3,10
1,4,25,0,25,3
2,4,17,1,18,6
1,8,31,2,28,7
3,6,31,2,4,7
1,5,15,4,32,0
3,7,47,1,1,5
5,7,22,3,13,11
6,8,50,1,34,9
2,0,8,3,22,3
7,4,20,0,10,5
2,4,38,3,22,2
2,4,1,0,11,4
2,6,0,1,18,8
3,2,37,0,0,9
2,5,35,1,18,7
2,6,51,0,11,8
2,5,9,2,20,4
3,4,18,1,1,6
4,5,43,4,36,0
2,3,25,4,24,5
3,7,33,3,5,2
7,6,20,3,21,2
3,5,16,1,1,4
3,7,5,4,7,2
3,9,38,3,5,9
3,5,42,3,5,2
5,6,41,3,13,10
1,4,25,0,25,6
0,6,37,3,15,2
1,6,22,2,28,11
3,7,25,1,1,0
3,1,41,3,5,10
0,4,6,4,17,11
1,4,45,4,32,10
3,5,13,1,1,5
1,3,51,1,26,6
0,6,18,2,12,1
1,4,36,2,28,0
3,3,4,2,4,1
3,6,21,0,0,5
2,7,8,2,20,9
4,6,26,1,31,11
7,7,17,0,10,11
4,5,48,0,27,8
4,5,43,0,27,1
2,0,12,1,18,11
7,9,37,4,23,2
0,8,4,2,12,11
1,7,33,0,25,11
2,4,35,3,22,0
1,8,36,4,32,3
1,1,16,1,26,1
1,4,31,0,25,2
5,4,23,3,13,0
1,4,16,0,25,5
2,0,41,2,20,6
3,3,2,1,1,10
1,5,5,4,32,10
1,5,7,2,28,10
7,4,45,2,19,7
6,5,50,0,29,7
4,0,40,0,27,8
4,5,40,0,27,0
1,3,29,0,25,0
1,5,4,4,32,7
2,6,33,0,11,2
3,8,38,4,7,4
1,4,15,4,32,2
6,0,9,4,39,3
4,3,32,3,35,4
6,3,31,0,29,0
5,5,34,4,14,2
1,4,36,0,25,10
2,1,1,2,20,9
2,5,31,4,24,8
2,5,26,3,22,0
3,7,51,3,5,6
1,4,23,4,32,9
7,8,7,1,16,6
4,3,33,3,35,0
4,5,35,0,27,6
1,1,2,2,28,8
1,0,44,0,25,9
2,5,12,2,20,5
2,8,29,0,11,4
4,1,22,3,35,3
1,6,17,2,28,10
2,5,23,4,24,9
1,4,30,1,26,4
3,6,8,4,7,7
3,4,9,0,0,10
5,4,8,4,14,7
3,3,47,2,4,1
2,4,7,1,18,0
0,6,1,3,15,4
6,6,3,3,38,0
3,3,43,4,7,1
7,5,47,4,23,11
2,6,5,3,22,6
1,4,24,2,28,0
3,5,15,2,4,8
1,7,36,1,26,7
3,4,49,3,5,0
3,0,23,0,0,6
0,4,39,4,17,9
1,5,17,0,25,2
1,7,44,0,25,8
7,1,8,0,10,2
2,4,30,3,22,7
1,7,39,3,30,5
4,3,35,1,31,2
2,5,40,3,22,10
1,5,14,1,26,7
3,9,5,4,7,7
7,5,31,3,21,9
1,8,8,3,30,11
1,5,44,4,32,0
7,5,12,0,10,1
1,4,10,1,26,10
4,7,47,1,31,10
7,2,38,0,10,7
3,5,22,2,4,5
1,4,37,3,30,6
7,3,43,1,16,7
5,7,17,4,14,1
4,5,19,0,27,11
2,3,14,0,11,1
5,4,50,0,2,1
1,5,26,1,26,0
2,4,43,3,22,10
1,3,20,3,30,0
1,5,48,2,28,2
1,2,35,4,32,11
3,5,3,3,5,3
2,0,43,1,18,7
3,7,14,3,5,10
1,8,28,0,25,5
7,4,7,1,16,0
2,5,31,0,11,4
1,4,8,2,28,10
1,0,22,1,26,8
1,7,2,3,30,4
2,8,20,3,22,10
2,6,45,1,18,5
4,5,7,1,31,6
1,6,1,0,25,6
2,6,35,3,22,6
4,3,33,0,27,5
5,4,38,1,6,5
7,4,11,3,21,1
4,5,2,3,35,7
0,2,17,0,3,3
3,7,44,1,1,10
1,0,14,3,30,1
6,9,30,4,39,1
2,9,25,2,20,11
1,4,39,3,30,1
1,6,15,1,26,8
3,1,31,0,0,2
1,6,11,3,30,1
3,6,25,1,1,10
3,6,18,4,7,9
4,6,41,4,36,2
1,5,13,4,32,2
3,5,33,1,1,1
6,4,9,3,38,2
2,2,44,4,24,1
1,4,26,4,32,8
4,5,0,3,35,1
3,6,34,4,7,0
6,6,42,2,37,6
3,2,16,2,4,3
1,5,29,0,25,1
7,3,40,0,10,7
1,3,33,3,30,8
1,2,14,2,28,6
7,4,5,4,23,3
7,0,20,3,21,5
5,6,45,1,6,0
3,2,32,2,4,0
2,6,46,1,18,3
1,7,33,1,26,6
3,9,3,0,0,6
2,0,2,2,20,8
3,5,16,2,4,8
2,3,8,3,22,6
1,4,1,2,28,0
3,5,29,2,4,5
1,4,29,3,30,0
7,7,38,1,16,11
1,5,24,4,32,8
5,2,31,4,14,8
4,4,33,2,33,1
6,1,23,3,38,2
3,4,9,0,0,1
1,4,43,4,32,11
4,5,20,3,35,9
1,4,24,0,25,11
3,4,40,0,0,0
5,2,39,2,9,3
1,4,5,2,28,0
1,4,44,0,25,3
4,6,13,2,33,11
1,6,36,0,25,1
1,6,1,3,30,8
2,6,50,4,24,6
1,5,26,4,32,8
1,0,26,1,26,10
4,5,11,2,33,11
3,4,49,3,5,8
4,8,10,4,36,2
1,5,16,4,32,3
7,3,27,1,16,3
1,2,37,1,26,9
3,5,51,1,1,3
3,0,12,3,5,11
1,3,20,1,26,7
2,6,21,0,11,8
7,8,45,3,21,8
2,2,31,0,11,5
4,3,48,3,35,6
3,5,50,0,0,11
1,4,0,4,32,8
4,6,24,2,33,0
1,7,36,3,30,6
1,9,25,4,32,10
1,1,36,0,25,2
4,5,25,3,35,6
1,5,26,2,28,9
6,5,18,1,34,7
3,6,23,1,1,10
1,1,27,0,25,4
1,0,23,1,26,5
2,6,40,4,24,11
4,7,16,0,27,0
3,8,49,0,0,2
0,5,42,4,17,0
1,3,13,4,32,6
7,2,34,2,19,1
3,5,7,4,7,5
1,4,4,3,30,11
3,7,16,2,4,2
1,4,12,3,30,2
3,4,7,1,1,8
1,1,30,2,28,11
1,3,12,0,25,1
1,4,12,2,28,5
1,3,18,4,32,9
4,4,34,4,36,8
3,8,15,0,0,6
2,6,51,4,24,9
1,6,28,1,26,1
7,4,47,3,21,4
3,4,9,4,7,11
3,4,24,1,1,1
6,4,38,4,39,2
2,7,50,4,24,7
3,5,46,2,4,8
3,5,41,0,0,5
6,3,50,2,37,7
2,8,7,4,24,2
7,4,22,4,23,2
7,4,0,0,10,0
1,3,38,3,30,10
4,1,18,0,27,11
3,1,12,0,0,3
2,1,34,3,22,2
6,4,6,3,38,4
1,5,12,1,26,6
2,4,27,4,24,5
7,4,11,3,21,6
0,7,6,0,3,9
1,1,28,1,26,7
4,6,47,3,35,9
7,8,8,0,10,9
7,6,40,2,19,10
1,6,27,3,30,6
2,5,25,2,20,9
5,6,7,3,13,5
1,9,35,2,28,6
1,5,45,0,25,5
2,0,19,0,11,3
2,5,50,3,22,2
0,5,49,4,17,2
1,5,11,4,32,6
1,5,37,3,30,10
1,4,12,1,26,1
7,3,39,4,23,10
4,9,15,0,27,2
1,4,36,2,28,4
4,5,48,3,35,11
1,1,38,4,32,7
6,9,12,3,38,3
1,9,1,4,32,2
6,6,4,0,29,9
3,1,11,4,7,2
1,5,26,1,26,7
7,1,20,0,10,8
1,0,14,2,28,9
7,8,40,3,21,2
2,1,37,3,22,4
3,7,46,1,1,2
1,3,27,2,28,2
1,4,47,0,25,6
1,6,36,3,30,2
1,6,40,4,32,1
2,1,22,1,18,0
1,6,6,4,32,1
1,4,42,4,32,4
3,6,42,2,4,11
3,7,48,1,1,4
3,4,41,0,0,7
5,6,51,4,14,0
2,4,29,3,22,2
6,3,21,2,37,0
1,4,36,0,25,7
6,6,49,3,38,0
1,7,12,1,26,4
7,5,9,2,19,0
2,7,34,3,22,9
3,4,39,2,4,5
1,5,34,0,25,3
2,2,2,3,22,3
5,5,34,4,14,1
3,8,49,2,4,4
2,4,2,3,22,10
1,7,46,2,28,7
2,4,2,1,18,1
7,9,42,2,19,7
1,5,18,0,25,9
4,4,11,3,35,2
5,9,27,0,2,4
3,0,0,0,0,0
0,4,36,0,3,11
1,4,27,2,28,10
3,4,41,0,0,9
1,4,31,1,26,10
5,6,43,2,9,0
3,0,10,2,4,5
0,6,18,2,12,8
1,5,51,1,26,6
3,5,9,2,4,3
1,6,12,2,28,2
2,9,49,3,22,4
4,4,48,3,35,3
3,7,34,3,5,1
3,6,51,2,4,1
1,7,45,0,25,10
1,4,2,4,32,1
7,6,5,3,21,2
7,6,29,2,19,9
1,8,25,4,32,4
4,0,37,0,27,7
7,6,7,1,16,8
4,5,44,3,35,3
2,6,5,0,11,2
6,0,30,4,39,2
5,4,46,0,2,4
1,5,32,1,26,0
2,6,24,1,18,1
1,5,25,2,28,4
1,5,7,2,28,5
1,7,48,2,28,9
3,4,23,0,0,11
2,7,19,2,20,8
1,7,25,2,28,7
1,4,1,1,26,10
6,5,46,3,38,5
4,2,21,4,36,8
2,5,3,1,18,9
3,1,33,2,4,2
0,4,49,4,17,0
4,7,36,2,33,1
3,2,3,1,1,10
6,9,11,0,29,10
4,4,14,2,33,2
1,6,37,3,30,4
5,3,6,3,13,9
1,4,19,2,28,0
4,3,35,4,36,7
3,3,25,4,7,10
7,7,21,2,19,6
4,8,19,2,33,4
3,3,40,0,0,11
7,5,10,0,10,6
6,7,27,0,29,3
1,3,3,3,30,0
2,9,21,4,24,5
1,9,5,4,32,2
1,6,23,0,25,1
3,7,8,1,1,3
7,0,33,3,21,4
2,2,31,1,18,7
1,2,27,3,30,4
2,2,15,4,24,4
4,7,35,3,35,0
2,0,14,0,11,3
1,5,22,0,25,9
1,4,42,4,32,9
1,7,19,0,25,8
6,4,38,4,39,11
1,7,37,1,26,2
0,4,50,0,3,4
2,6,36,1,18,11
3,5,38,2,4,4
7,0,9,1,16,11
7,4,23,0,10,8
4,3,41,3,35,10
1,8,44,0,25,9
2,1,14,1,18,7
2,4,29,1,18,11
6,0,24,4,39,10
3,6,15,2,4,7
6,5,48,4,39,1
2,5,37,4,24,4
3,1,6,3,5,9
7,5,46,4,23,5
4,6,9,4,36,1
2,3,44,1,18,1
2,7,50,1,18,8
2,4,44,2,20,8
5,3,18,0,2,4
1,4,46,2,28,4
6,8,4,3,38,2
3,4,8,4,7,2
1,3,19,4,32,8
2,3,29,0,11,10
7,7,22,0,10,4
3,4,40,0,0,2
0,3,14,1,8,1
1,6,18,0,25,2
7,6,38,3,21,1
1,4,23,3,30,11
3,5,16,4,7,3
1,5,19,4,32,9
2,5,37,0,11,0
4,4,7,1,31,5
1,3,32,3,30,10
4,9,48,2,33,6
1,3,34,0,25,9
2,1,6,0,11,1
3,4,34,2,4,3
1,5,25,2,28,1
2,0,23,0,11,2
1,6,10,4,32,2
3,2,13,0,0,1
4,7,23,2,33,1
2,6,3,2,20,2
2,3,27,2,20,0
0,3,23,2,12,2
1,6,24,2,28,0
2,6,32,0,11,4
1,4,24,2,28,2
1,4,7,1,26,6
4,1,21,4,36,3
7,8,5,4,23,2
0,5,49,1,8,3
3,4,24,4,7,10
1,6,45,1,26,1
5,1,35,3,13,3
3,6,14,4,7,4
4,5,25,1,31,11
1,7,4,1,26,4
3,5,12,3,5,11
1,4,2,2,28,5
2,3,22,1,18,10
1,4,43,3,30,2
1,9,26,4,32,7
2,7,37,3,22,11
3,3,36,1,1,9
7,9,5,2,19,11
1,0,43,0,25,4
1,5,19,0,25,4
3,8,25,1,1,10
4,5,15,3,35,10
1,5,0,4,32,7
7,2,12,0,10,7
7,5,50,4,23,2
1,4,16,0,25,0
0,2,16,0,3,3
3,4,41,1,1,1
1,5,4,4,32,7
2,4,12,4,24,8
7,7,32,2,19,5
3,4,50,2,4,9
1,0,31,0,25,1
7,5,20,4,23,4
2,5,33,2,20,1
2,0,26,2,20,2
1,4,46,1,26,3
1,5,13,3,30,6
6,4,16,0,29,0
1,1,22,2,28,0
4,8,40,0,27,4
1,2,38,3,30,9
3,6,39,4,7,10
4,4,20,0,27,7
5,5,37,2,9,10
3,0,5,2,4,6
5,4,48,1,6,2
1,5,9,1,26,9
2,8,40,0,11,5
2,5,14,4,24,1
2,2,39,0,11,9
3,7,25,4,7,3
1,8,38,2,28,2
1,3,22,0,25,1
3,6,42,3,5,9
6,5,23,4,39,4
1,3,23,1,26,9
1,5,36,1,26,3
2,5,24,3,22,3
1,5,38,2,28,0
6,5,14,3,38,7
1,5,41,1,26,1
3,6,32,4,7,8
1,4,5,0,25,2
2,1,32,4,24,2
3,4,37,4,7,11
2,3,44,2,20,3
1,2,14,4,32,1
3,3,19,3,5,2
7,4,45,2,19,11
0,5,0,3,15,0
4,4,4,4,36,5
4,0,33,3,35,6
1,3,34,3,30,4
1,5,12,1,26,10
2,6,14,0,11,2
4,3,28,3,35,3
0,5,13,4,17,3
3,3,12,4,7,11
3,5,6,3,5,8
3,3,7,1,1,3
1,3,7,0,25,8
5,6,13,2,9,5
4,9,36,4,36,1
6,0,39,2,37,4
1,5,7,0,25,6
0,5,26,3,15,8
1,5,25,2,28,7
5,5,0,0,2,10
7,8,39,0,10,5
2,4,7,0,11,2
3,6,32,2,4,8
1,4,31,0,25,7
3,6,3,1,1,3
6,6,20,1,34,9
1,6,47,4,32,6
1,7,14,2,28,5
3,4,29,4,7,4
1,9,35,0,25,11
1,7,16,0,25,11
2,2,43,0,11,0
1,6,1,4,32,9
2,2,43,1,18,11
2,5,15,2,20,5
3,9,35,1,1,11
7,4,50,2,19,5
7,4,19,4,23,10
1,6,51,3,30,2
3,5,22,2,4,0
2,5,49,0,11,5
0,6,4,0,3,8
7,4,16,3,21,1
1,4,16,0,25,10
1,8,38,4,32,11
1,1,8,4,32,4
0,9,51,4,17,4
1,0,49,1,26,1
1,7,43,3,30,3
3,2,8,0,0,5
1,9,45,3,30,2
7,9,33,3,21,0
1,7,42,3,30,11
0,8,8,0,3,0
5,4,16,1,6,7
1,2,7,4,32,2
4,7,31,4,36,10
5,9,51,0,2,1
0,4,48,0,3,3
1,5,5,2,28,9
2,0,0,3,22,11
2,6,6,0,11,6
2,4,21,0,11,0
4,6,32,3,35,0
6,6,34,0,29,8
2,6,38,2,20,5
1,7,23,0,25,4
1,1,3,2,28,10
1,2,24,0,25,4
1,7,32,1,26,11
1,6,35,1,26,8
6,4,14,3,38,8
1,6,42,3,30,1
3,9,16,2,4,10
4,8,6,1,31,11
1,8,26,1,26,7
1,4,14,2,28,2
3,6,24,0,0,8
5,6,5,1,6,1
6,4,15,0,29,11
1,6,46,3,30,2
1,2,51,4,32,3
0,0,12,2,12,2
0,8,48,2,12,7
3,6,50,0,0,3
2,6,30,0,11,8
1,2,34,4,32,5
1,6,21,1,26,2
3,0,11,2,4,3
7,0,30,3,21,5
1,7,32,0,25,0
2,7,10,2,20,8
3,5,46,0,0,9
2,1,18,0,11,1
2,5,46,4,24,1
1,7,36,4,32,10
2,6,13,0,11,5
1,4,31,1,26,1
1,8,33,2,28,8
1,7,19,2,28,11
1,3,34,2,28,9
4,8,46,2,33,5
4,4,47,2,33,1
4,5,35,2,33,5
1,7,12,3,30,6
1,3,34,3,30,10
7,5,14,1,16,8
3,1,22,2,4,5
1,4,35,2,28,1
1,9,21,2,28,3
2,6,38,4,24,10
4,6,1,1,31,0
2,4,1,2,20,6
1,3,49,4,32,7
6,6,41,2,37,4
0,6,45,2,12,9
1,6,50,0,25,1
0,1,5,1,8,8
1,6,29,0,25,3
1,5,7,1,26,2
1,2,4,3,30,0
3,2,42,1,1,11
1,4,20,3,30,2
2,7,41,2,20,2
1,1,2,4,32,4
1,6,44,0,25,11
2,5,38,1,18,1
3,7,23,2,4,5
4,7,21,2,33,5
1,9,29,0,25,4
3,3,37,0,0,7
1,4,12,2,28,8
1,3,16,4,32,2
5,7,35,4,14,7
4,6,6,3,35,8
4,7,43,4,36,5
1,6,14,4,32,11
2,4,33,0,11,6
2,6,37,4,24,0
